table_name,table_name_cn,column_name,column_name_cn
pl,綜合損益表,NCI_NP,歸屬於非控制權益之淨利
pl,綜合損益表,EPS,每股稅後盈餘(元)
pl,綜合損益表,OI,營業利益
pl,綜合損益表,OC,營業成本
pl,綜合損益表,ORV,營業收入
pl,綜合損益表,OG,營業毛利
pl,綜合損益表,OGN,營業毛利淨額
pl,綜合損益表,OE,營業費用
pl,綜合損益表,EBT,稅前淨利
pl,綜合損益表,EAT,稅後淨利
pl,綜合損益表,ME,管理費用
pl,綜合損益表,CI,綜合損益
pl,綜合損益表,CI_POE,綜合損益–歸屬於母公司
pl,綜合損益表,CI_NCI,綜合損益–歸屬於非控制權益
pl,綜合損益表,PUL,繼續營業單位稅後損益
pl,綜合損益表,NTAX_NR,與不重分類之項目相關之所得稅
pl,綜合損益表,NTAX_CR,與可能重分類之項目相關之所得稅
pl,綜合損益表,FC,財務成本
pl,綜合損益表,NSR,銷貨收入淨額
seasons,季度表,seasonsID,季度編號
seasons,季度表,seasons,季度
indicators,指標表,seasonsID,季度編號
indicators,指標表,seasons,季度
indicators,指標表,GPM,營業毛利率
indicators,指標表,OPM,營業利益率
indicators,指標表,NPM,稅後淨利率
indicators,指標表,ROE_Q,股東權益報酬率
indicators,指標表,ROA_Q,資產報酬率
indicators,指標表,RGR_Q,營收季成長率
indicators,指標表,RGR_Y,營收年成長率
indicators,指標表,TAGR_Q,資產總額季成長率
indicators,指標表,TAGR_Y,資產總額年成長率
indicators,指標表,LTDR,長期負債 (%)
indicators,指標表,DR,負債比率(%)
indicators,指標表,SEQ,股東權益總額 (%)
indicators,指標表,CR,現金比
indicators,指標表,QR,速動比
indicators,指標表,CURR,流動比
indicators,指標表,ICR,利息保障倍數
indicators,指標表,ART,應收帳款週轉率 (次/年)
indicators,指標表,IT,存貨週轉率 (次/年)
indicators,指標表,TAT,總資產週轉率 (次/年)
indicators,指標表,DER,負債對淨值比率
indicators,指標表,ARD,應收帳款收現天數
indicators,指標表,ITD,存貨週轉天數
indicators,指標表,OCD,營運週轉天數
indicators,指標表,OCF,營業現金流
indicators,指標表,ICF,投資現金流
indicators,指標表,FCF,融資現金流
indicators,指標表,CAPEX,資本支出
indicators,指標表,FCFREE,自由現金流
indicators,指標表,NCF,淨現金流
