table_name,table_name_cn,column_name,column_name_cn
bs,資產負債表,FAMC,按攤銷後成本衡量之金融資產－流動
bs,資產負債表,FAMCN,按攤銷後成本衡量之金融資產－流動淨額
bs,資產負債表,FAMN,按攤銷後成本衡量之金融資產－非流動
bs,資產負債表,FAMNN,按攤銷後成本衡量之金融資產－非流動淨額
bs,資產負債表,IAEM,採用權益法之投資
bs,資產負債表,IA,採用權益法之投資淨額
bs,資產負債表,CCE,本期所得稅負債
bs,資產負債表,STB,無形資產
bs,資產負債表,LLNC,現金及約當現金
bs,資產負債表,TE,短期借款
bs,資產負債表,PC,租賃負債－非流動
bs,資產負債表,PN,股本合計
bs,資產負債表,TCS,負債準備－流動
bs,資產負債表,FAFVOCIC,負債準備－非流動
bs,資產負債表,FAFVOCINC,資本公積合計
bs,資產負債表,FLFVPLC,透過其他綜合損益按公允價值衡量之金融資產－流動
bs,資產負債表,FAFVPL,透過其他綜合損益按公允價值衡量之金融資產－非流動
bs,資產負債表,FAFVPLNC,透過損益按公允價值衡量之金融負債－流動
bs,資產負債表,DITL,透過損益按公允價值衡量之金融資產－流動
bs,資產負債表,HFLC,透過損益按公允價值衡量之金融資產－非流動
bs,資產負債表,HFAC,遞延所得稅負債
bs,資產負債表,LTB,遞延所得稅資產
bs,資產負債表,PCCU,避險之衍生金融負債－流動
bs,資產負債表,TEOP,避險之衍生金融資產－流動
bs,資產負債表,TCL,避險之金融負債－流動
bs,資產負債表,TCA,避險之金融資產－流動
bs,資產負債表,NCI,長期借款
bs,資產負債表,TNCL,共同控制下前手權益
bs,資產負債表,TNCA,歸屬於母公司業主之權益合計
bs,資產負債表,SRT,流動負債合計
bs,資產負債表,TEQ,流動資產合計
bs,資產負債表,TSHS,非控制權益
bs,資產負債表,TLE,非流動負債合計
bs,資產負債表,TL,非流動資產合計
bs,資產負債表,TA,待註銷股本股數（單位：股）
bs,資產負債表,SSA,權益總額
cfs,現金流量表,seasonsID,季度編號
cfs,現金流量表,PBTFC,繼續營業單位稅前淨利（淨損）
cfs,現金流量表,PBTFT,本期稅前淨利（淨損）
cfs,現金流量表,DE,折舊費用
cfs,現金流量表,AE,攤銷費用
cfs,現金流量表,IE,利息費用
cfs,現金流量表,II,利息現金流量表收入(負)
cfs,現金流量表,PE,股份基礎給付酬勞成本
cfs,現金流量表,SOPOA,採用權益法認列之關聯企業及合資損失（利益）之份額
cfs,現金流量表,GODAR,處分及報廢不動產、廠房及設備損失（利益）
cfs,現金流量表,GODOI,處分投資損失（利益）
cfs,現金流量表,GODOE,處分採用權益法之投資損失（利益）
cfs,現金流量表,RSL,已實現銷貨損失（利益）
cfs,現金流量表,UFEL,未實現外幣兌換損失（利益）
cfs,現金流量表,OI,其他項目
cfs,現金流量表,TIAE,不影響現金流量之收益費損項目合計
cfs,現金流量表,IIFAH,持有供交易之金融資產（增加）減少
cfs,現金流量表,IIAR,應收帳款（增加）減少
cfs,現金流量表,IIARR,應收帳款－關係人（增加）減少
cfs,現金流量表,IIORR,其他應收款－關係人（增加）減少
cfs,現金流量表,III,存貨（增加）減少
cfs,現金流量表,IIOCA,其他流動資產（增加）減少
cfs,現金流量表,IIOFA,其他金融資產（增加）減少
cfs,現金流量表,TCIA,與營業活動相關之資產之淨變動合計
cfs,現金流量表,IIAP,應付帳款增加（減少）
cfs,現金流量表,IIAPR,應付帳款－關係人增加（減少）
cfs,現金流量表,IIP,負債準備增加（減少）
cfs,現金流量表,IIOCL,其他流動負債增加（減少）
cfs,現金流量表,IIAPL,應計退休金負債增加（減少）
cfs,現金流量表,IIOOL,其他營業負債增加（減少）
cfs,現金流量表,TCIL,與營業活動相關之負債之淨變動合計
cfs,現金流量表,TCIAA,與營業活動相關之資產及負債之淨變動合計
cfs,現金流量表,TA,調整項目合計
cfs,現金流量表,NCGFO,營運產生之現金流入（流出）
cfs,現金流量表,ITR,退還（支付）之所得稅
cfs,現金流量表,NCGFO_2,營業活動之淨現金流入（流出）
cfs,現金流量表,AOFA,取得備供出售金融資產
cfs,現金流量表,PFDOF,處分備供出售金融資產
cfs,現金流量表,AOFA_2,取得持有至到期日金融資產
cfs,現金流量表,PFROF,持有至到期日金融資產到期還本
cfs,現金流量表,AOFAM,取得以成本衡量之金融資產
cfs,現金流量表,PFDOF_2,處分以成本衡量之金融資產
cfs,現金流量表,AOAE,取得不動產、廠房及設備
cfs,現金流量表,PFDOA,處分不動產、廠房及設備
cfs,現金流量表,IIRD,存出保證金增加
cfs,現金流量表,DIRD,存出保證金減少
cfs,現金流量表,AOIA,取得無形資產
cfs,現金流量表,DIR,應收款項減少
cfs,現金流量表,IIOA,其他非流動資產增加
cfs,現金流量表,IR,收取之利息
cfs,現金流量表,NCGFI,投資活動之淨現金流入（流出）
cfs,現金流量表,IIB,短期借款增加
cfs,現金流量表,PFIOC,發行公司債
cfs,現金流量表,ROB,償還長期借款
cfs,現金流量表,IIGDR,存入保證金增加
cfs,現金流量表,DIGDR,存入保證金減少
cfs,現金流量表,EOESO,員工執行認股權
cfs,現金流量表,IP,支付之利息
cfs,現金流量表,CII,非控制權益變動
cfs,現金流量表,NCGFF,籌資活動之淨現金流入（流出）
cfs,現金流量表,EOERC,匯率變動對現金及約當現金之影響
cfs,現金流量表,IICAC,本期現金及約當現金增加（減少）數
cfs,現金流量表,CACEA,期初現金及約當現金餘額
cfs,現金流量表,CACEA_2,期末現金及約當現金餘額
cfs,現金流量表,CACEI,資產負債表帳列之現金及約當現金
cfs,現金流量表,DI,股利收入
cfs,現金流量表,ILOFA,金融資產減損損失
cfs,現金流量表,ILOA,非金融資產減損損失
cfs,現金流量表,PFDOE,處分採用權益法之投資
cfs,現金流量表,PFDOS,處分子公司
cfs,現金流量表,DILR,長期應收租賃款減少
cfs,現金流量表,IIOFA_2,其他金融資產增加
cfs,現金流量表,DR,收取之股利
cfs,現金流量表,OIA,其他投資活動
cfs,現金流量表,PFB,舉借長期借款
cfs,現金流量表,DILLP,應付租賃款減少
cfs,現金流量表,USG,未實現銷貨利益（損失）
cfs,現金流量表,POCD,發放現金股利
cfs,現金流量表,OFA,其他籌資活動
cfs,現金流量表,OCACE,其他符合國際會計準則第七號現金及約當現金定義之項目
cfs,現金流量表,TIAE_2,收益費損項目合計
cfs,現金流量表,NIIDB,淨確定福利負債增加(減少)
cfs,現金流量表,DIB,短期借款減少
cfs,現金流量表,PFDOH,處分避險之衍生金融資產
cfs,現金流量表,IIOOA,其他營業資產（增加）減少
cfs,現金流量表,CRFFA,以成本衡量之金融資產減資退回股款
cfs,現金流量表,ROCB,償還公司債
cfs,現金流量表,NLOFA,透過損益按公允價值衡量金融資產及負債之淨損失（利益）
cfs,現金流量表,LODOI,處分無形資產損失（利益）
cfs,現金流量表,AOFAA,取得透過其他綜合損益按公允價值衡量之金融資產
cfs,現金流量表,PFDOF_3,處分透過其他綜合損益按公允價值衡量之金融資產
cfs,現金流量表,PFROF_2,按攤銷後成本衡量之金融資產到期還本
cfs,現金流量表,DOHFL,除列避險之金融負債╱避險之衍生金融負債
cfs,現金流量表,PFDOI,處分無形資產
cfs,現金流量表,CRFFA_2,透過其他綜合損益按公允價值衡量之金融資產減資退回股款
cfs,現金流量表,PFDOH_2,處分避險之金融資產╱避險之衍生金融資產
cfs,現金流量表,AOFAM_2,取得按攤銷後成本衡量之金融資產
cfs,現金流量表,ECLAF,預期信用減損損失（利益）數/呆帳費用提列（轉列收入）數
cfs,現金流量表,ROILO,非金融資產減損迴轉利益
cfs,現金流量表,NCIFA,強制透過損益按公允價值衡量之金融資產（增加）減少
cfs,現金流量表,DOHFL_2,除列避險之金融負債
cfs,現金流量表,ROLP,租賃本金償還
cfs,現金流量表,IINP,應付短期票券增加
cfs,現金流量表,DINP,應付短期票券減少
cfs,現金流量表,AFIII,存貨減少(增加)之調整數
cfs,現金流量表,IIOP,其他預付款項增加
cfs,現金流量表,PFDOS_2,處分子公司股權（未喪失控制力）
cfs,現金流量表,COTSR,庫藏股票買回成本
cfs,現金流量表,AOFAM_3,取得透過損益按公允價值衡量之金融資產
pl,綜合損益表,seasonsID,季度編號
pl,綜合損益表,EDFO,國外營運機構財務報表換算之兌換差額
pl,綜合損益表,GLCFH,現金流量避險中屬有效避險部分之避險工具利益(損失)
pl,綜合損益表,RDBP,確定福利計畫之再衡量數
pl,綜合損益表,ITNR,與不重分類之項目相關之所得稅
pl,綜合損益表,ITR,與可能重分類之項目相關之所得稅
pl,綜合損益表,UVGD,透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益
pl,綜合損益表,UVGE,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益
pl,綜合損益表,GLH,避險工具之損益
pl,綜合損益表,GLHNR,避險工具之損益－不重分類至損益
pl,綜合損益表,UVGA,備供出售金融資產未實現評價損益
pl,綜合損益表,NOG,其他利益及損失淨額
pl,綜合損益表,OI,其他收入
pl,綜合損益表,II,利息收入
pl,綜合損益表,SOCN,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目
pl,綜合損益表,TSOC,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
pl,綜合損益表,NSPL,採用權益法認列之關聯企業及合資損益之份額淨額
pl,綜合損益表,SOCP,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目
pl,綜合損益表,SE,推銷費用
pl,綜合損益表,RDE,研究發展費用
pl,綜合損益表,ADB,確定福利計畫精算利益（損失）
pl,綜合損益表,AE,管理費用
pl,綜合損益表,NPCO,繼續營業單位淨利（淨損）
pl,綜合損益表,ITOC,與其他綜合損益組成部分相關之所得稅
pl,綜合損益表,NFC,財務成本淨額
pl,綜合損益表,NR,不重分類至損益之項目：
pl,綜合損益表,NIOE,其他收益及費損淨額
pl,綜合損益表,OCI,其他綜合損益（淨額）
pl,綜合損益表,BEPS,基本每股盈餘
pl,綜合損益表,RI,後續可能重分類至損益之項目：
pl,綜合損益表,ONPL,母公司業主（淨利∕損）
pl,綜合損益表,OCIC,母公司業主（綜合損益）
pl,綜合損益表,TNIE,營業外收入及支出合計
pl,綜合損益表,TOE,營業費用合計
pl,綜合損益表,DEPS,稀釋每股盈餘
pl,綜合損益表,NSR,銷貨收入淨額
pl,綜合損益表,NCINPL,非控制權益（淨利∕損）
pl,綜合損益表,NCICI,非控制權益（綜合損益）
pl,綜合損益表,RSG,已實現銷貨（損）益
pl,綜合損益表,TIT,所得稅費用（利益）合計
pl,綜合損益表,USG,未實現銷貨（損）益
pl,綜合損益表,NPLP,本期淨利（淨損）
pl,綜合損益表,TCIP,本期綜合損益總額
pl,綜合損益表,OPL,營業利益（損失）
pl,綜合損益表,TOC,營業成本合計
pl,綜合損益表,TOR,營業收入合計
pl,綜合損益表,GP,營業毛利（毛損）
pl,綜合損益表,NGP,營業毛利（毛損）淨額
pl,綜合損益表,PLBT,稅前淨利（淨損）
pl,綜合損益表,NPCO_2,繼續營業單位本期淨利（淨損）
seasons,季度表,seasonsID,季度編號
seasons,季度表,seasons_w,季度
